# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\SpritesTank.png	255	255	255
10	textures\tankAndMain.png	0	136	255
20	textures\bbox.png	237	38	26
90	textures\enemies-1.png	255	0	255
30	textures\itemsandobjects.png	176	224	248 
70	textures\area2.png	255	255	255
80	textures\over_word.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#===============BACKGROUND-AREA2==============
70000	0	0	1536	2022	80
# JASON
# idle right
11001	3	98	11	114	0
# walk
11002	12	98	20	114	0
11003	21	98	29	114	0
11004	30	98	38	114	0
# idle left
11011	3	30	11	46	0
#walk
11012	12	30	20	46	0
11013	21	30	29	46	0
11014	30	30	38	46	0
# die 
11099	215	120	231	135	0
# CRAWL JASON
# idle right
11021	37	89	53	97	0
# walk
11022	54	89	70	97	0
11023	37	89	53	97	0
# idle left
11031	3	47	19	55	0
# walk
11032	20	47	36	55	0
11033	3	47	19	55	0
#JASON OW
12001	208	3	232	35	0
12002	233	3	257	35	0
12003	258	3	282	35	0
12004	208	36	232	68	0
12005	233	36	257	68	0
12006	258	36	282	68	0
12007	208	69	232	101	0
12008	233	69	257	101	0
12009	258	69	282	101	0
12010	283	69	307	101	0
12011	308	69	332	101	0
12012	333	69	357	101	0
12013	286	2	307	34	0
12014	308	2	332	34	0
12015	334	2	356	34	0
12016	359	2	383	34	0
12017	384	2	408	34	0
# SOPHIA
# idle right
10001	0	6	26	42	10
# walk right
10002	0	6	26	42	10
10003	39	6	66	42	10
10004	80	6	106	42	10
10005	120	6	146	42	10
# idle left
10011	162	160	188	195	10
#walk left
10012	162	160	188	195	10
10013	122	160	147	195	10
10014	81	160	108	195	10
10015	42	160	67	195	10
# die 
10099	215	120	231	135	10
# jump right
10040	159	7	186	44	10
10041	120	7	146	41	10
10042	120	7	146	41	10
10043	120	7	146	41	10
# jump left
10050	0	159	28	200	10
10051	41	159	68	198	10
10052	80	159	108	198	10
10053	121	159	148	198	10
# attack up right
10060	196	36	225	78	10
10061	196	75	228	110	10
10062	203	270	230	310	10
# walk up right
10070	203	270	230	310	10
10071	238	270	265	310	10
10072	140	270	167	310	10
10073	171	270	198	310	10
# jump up right
10080	240	310	270	345	10
10081	238	270	265	310	10
# attack up left
10090	664	36	691	78	10
10091	664	75	691	110	10
10092	44	270	70	310	10
# jump up left
10100	285	310	315	345	10
10101	285	270	315	310	10
# walk up left
10110	44	270	70	310	10
10111	9	270	35	310	10
10112	105	270	130	310	10
10113	75	270	100	310	10
#state_untouchable_right
10120	0	6	26	42	10
10121	140	340	166	377	10
#state_untouchable_left
10130	162	160	188	195	10
10131	102	340	130	377	10
#die
10099	45	21	61	29	10

#BRICK
20001	408	225	424	241	20
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20

#BULLET		
80000	73	38	81	46	0
80001	166	97	182	113	0
80002	149	97	165	113	0
80003	140	101	148	109	0
80004	73	20	81	28	0
80005	73	72	81	80	0
80006	82	20	90	28	0
80007	91	20	115	28	0
80008	91	72	115	80	0
80009	116	20	124	44	0

#ITEMS
60001	104	108	121	125	30

# WORMS
# walk right
90001	191	412	207	421	90
90002	172	412	189	421	90
# walk left
90003	46	412	62	421	90
90004	64	412	81	421	90
# cannon
410000	96	603	122	629	90
410001	41	603	67	629	90
410002	68	603	94	629	90
#Teleport
420000  71  568  95   600
420000  159  568  183   600
420000  98  568  122   600
420000  71  568  95   600

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== BACKGROUND_AREA2 =========
700	70000	1000
# ==== SOPHIA =========
#idle right
400	10001	100
#idle left
401	10011	100
#walk right 
402	10002	50	10003	50	10004	50	10005	50
#walk left 
403	10012	50	10013	50	10014	50	10015	50
#jump right
404	10040	500	10041	100	10042	100	10043	100
#jump left
405	10050	500	10051	100	10052	100	10053	100
# attack up right
406	10060	150	10061	150	10062	150
# stand attack right
407	10062	100
# walk up right
408	10070	50	10071	50	10072	50	10073	50
# jump up right
409	10080	500	10081	500
# attack up left
410	10090	150	10091	150	10092	150
# stand attack right
411	10092	100
# jump up left
412	10100	500	10101	500
# walk up left
413	10110	50	10111	50	10112	50	10113	50
#walk after jump right 
414	10002	25	10003	25	10004	25	10005	25
#walk after jump left 
415	10012	25	10013	25	10014	25	10015	25
#untouchable right
416	10120	50	10121	50
#untouchable left
417	10130	50	10131	50
#die
499	10099	100

# ======== JASON ===============
#idle BIG right
500	11001	100
#idle BIG left
501	11011	100
#idle small right
502	11021	100
#idle small left
503	11031	100
#walk right big
504	11001	100	11002	100	11003	100	11004	100
#walk left big
505	11011	100	11012	100	11013	100	11014	100
#walk right small
506	11021	100	11022	100	11023	100
#walk left small
507	11031	100	11032	100	11033	100
#walk right small
508	11002	100
#walk left small
509	11012	100
#die
599	11099	100

#==== BULLET==== 
800	80000	100 
801	80002	50	80001	100
802	80004	100
803	80005	100
804	80006	100
805	80007	100
806	80008	100
807	80009	100
#Jason OW
#Ide right
1100	12011	100
#Ide left
1101	12008	100
#Ide top
1102	12005	100
#Ide down
1103	12002	100
#Walk right
1104	12010	100	12011	100	12012	100
#Walk left
1105	12007	100	12008	100	12009	100
#Walk top
1106	12004	100	12005	100	12006	100
#Walk down
1107	12001	100	12002	100	12003	100
#Die
1108	12013	150	12014	150	12015	150	12016	150	12017	400
# ==== BRICK =========
601	20001	100

# === ITEMS =========
603	60001	100
# === CANNON=========
4100	410000	100
4101	410001	100
4102	410002	100
# ==== WORMS =========
#walk right
900	90001	100	90002	100
#walk left
901	90003	100	90004	100
# ==== TRAP =========
701	30001	100
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#===== BACKGROUND ==========
19	700
70000	2048	1024	2560	2032	71
# BRICK 
2	601
# ITEMS
3	603
#SOPHIA
7	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	499
# JASON
1	500	501	502	506	504	505	503	507	508	509	599
# WORMS
9	900	901
# Bullet
6	800	801	802	803	804	805	806	807
#TRAP
8	701
#Jason ow
11	1100	1101	1102	1103	1104	1105	1106	1107	1108

#Cannon
41	4100	4101	4102
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 19 = BACKGROUND, 9 = WORMS
#====== BACKGROUND =======
19	0	0	19

# MARIO
#7	30	0	7
#0	50.0	0	1
# BULLET
#6	30	124	8
# BRICK 
# --- platform (hint: I created the list using Excel!) ----
# type	x	y	ani_set_id	BBOX_WITH   BB_HEIGHT  
#1	0	64	2	512	32  
11	60	60	11
42	500	0	41
41	0	0	41
#brick
1	0	0	2	32	2025
1	0	1973	2	1535	55
1	0	0	2	1023	24
1	1023	725	2	515	65
1	1503	725	2	35	1300
1	990	0	2	35	1023
1	0	184	2	543	95
1	175	7	2	33	112
1	303	7	2	33	112
1	111	87	2	33	112
1	239	87	2	33	112
1	367	87	2	33	112
1	623	7	2	33	367
1	751	119	2	33	323
1	480	439	2	543	95
1	480	0	2	63	69
1	480	106	2	63	478
1	480	615	2	63	222
1	480	870	2	63	478
1	480	1381	2	63	640
1	480	1894	2	63	130
1	0	695	2	879	93
1	912	695	2	112	93
1	224	695	2	63	143
1	224	870	2	63	224
1	224	1126	2	63	480
1	224	1638	2	63	224
1	224	1894	2	63	130
1	736	441	2	63	397
1	736	870	2	63	480
1	736	1382	2	63	480
1	736	1894	2	63	130
1	991	726	2	63	624
1	991	1382	2	63	224
1	991	1638	2	63	224
1	991	1894	2	63	130
1	1247	727	2	63	879
1	1247	1639	2	63	223
1	1247	1894	2	63	131
1	0	950	2	112	96
1	144	950	2	480	96
1	656	950	2	480	96
1	1168	950	2	143	96
1	0	1206	2	367	96
