# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\SpritesTank.png	0	136	255
10	textures\tankAndMain.png	0	136	255
20	textures\bbox.png	237	38	26
90	textures\enemies-1.png	255	0	255
30	textures\itemsandobjects.png	176	224	248 
70	textures\Section_F.png	255	255	255
80	textures\UI.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#UI
10200	359	6	369	56	80
10201	347	6	357	56	80
10202	335	6	345	56	80
10203	323	6	333	56	80
10204	311	6	321	56	80
10205	298	6	308	56	80
10206	286	6	296	56	80
10207	275	6	285	56	80
10208	263	6	273	56	80
#===============BACKGROUND-AREA2==============
70000	0	0	384	1321	70
# JASON
# idle right
11001	3	98	11	114	0
# walk
11002	12	98	20	114	0
11003	21	98	29	114	0
11004	30	98	38	114	0
# idle left
11011	3	30	11	46	0
#walk
11012	12	30	20	46	0
11013	21	30	29	46	0
11014	30	30	38	46	0
# die 
11099	215	120	231	135	0
# CRAWL JASON
# idle right
11021	37	89	53	97	0
# walk
11022	54	89	70	97	0
11023	37	89	53	97	0
# idle left
11031	3	47	19	55	0
# walk
11032	20	47	36	55	0
11033	3	47	19	55	0

# SOPHIA
# idle right
10001	0	6	26	42	10
# walk right
10002	0	6	26	42	10
10003	39	6	66	42	10
10004	80	6	106	42	10
10005	120	6	146	42	10
# idle left
10011	162	160	188	195	10
#walk left
10012	162	160	188	195	10
10013	122	160	147	195	10
10014	81	160	108	195	10
10015	42	160	67	195	10
# die 
10099	215	120	231	135	10
# jump right
10040	159	7	186	44	10
10041	120	7	146	41	10
10042	120	7	146	41	10
10043	120	7	146	41	10
# jump left
10050	0	159	28	200	10
10051	41	159	68	198	10
10052	80	159	108	198	10
10053	121	159	148	198	10
# attack up right
10060	196	36	225	78	10
10061	196	75	228	110	10
10062	203	270	230	310	10
# walk up right
10070	203	270	230	310	10
10071	238	270	265	310	10
10072	140	270	167	310	10
10073	171	270	198	310	10
# jump up right
10080	240	310	270	345	10
10081	238	270	265	310	10
# attack up left
10090	664	36	691	78	10
10091	664	75	691	110	10
10092	44	270	70	310	10
# jump up left
10100	285	310	315	345	10
10101	285	270	315	310	10
# walk up left
10110	44	270	70	310	10
10111	9	270	35	310	10
10112	105	270	130	310	10
10113	75	270	100	310	10
#state_untouchable_right
10120	0	6	26	42	10
10121	140	340	166	377	10
#state_untouchable_left
10130	162	160	188	195	10
10131	102	340	130	377	10
#die
10099	45	21	61	29	10

#BRICK
20001	408	225	424	241	20
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20

#BULLET		
80000	73	38	81	46	0
80001	166	97	182	113	0
80002	149	97	165	113	0
80003	140	101	148	109	0
80004	73	20	81	28	0
80005	73	72	81	80	0
80006	82	20	90	28	0
80007	91	20	115	28	0
80008	91	72	115	80	0
80009	116	20	124	44	0

#ITEMS
60001	104	108	121	125	30

# WORMS
# walk right
90001	191	412	207	421	90
90002	172	412	189	421	90
# walk left
90003	46	412	62	421	90
90004	64	412	81	421	90

# JUMPERS
# walking left
90021	105	500	121	524	90
90022	87	499	101	524	90
90023	69	500	83	524	90
# walking right
90024	132	500	148	524	90
90025	152	499	166	524	90
90026	170	500	184	524	90
# INSECT
# walking left
90027	103	529	122	548	90
90028	83	532	102	548	90
# walking right
90029	131	529	150	548	90
90030	151	532	170	548	90
# ORBS
90031	77	386	96	405	90
90032	97	386	116	405	90
90033	117	386	136	405	90
90034	137	386	156	405	90
90035	157	386	176	405	90
# MINES
90044	219	1584	236	1595	90
90045	219	1602	236	1613	90
# SKULLS
# left
90040	41	529	60	548	90
# right
90041	193	529	212	548	90
# attack left
90042	60	526	81	548	90
# attack right
90043	173	526	192	548	90
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== BACKGROUND_AREA2 =========
700	70000	1000
# ==== SOPHIA =========
#idle right
400	10001	100
#idle left
401	10011	100
#walk right 
402	10002	50	10003	50	10004	50	10005	50
#walk left 
403	10012	50	10013	50	10014	50	10015	50
#jump right
404	10040	500	10041	100	10042	100	10043	100
#jump left
405	10050	500	10051	100	10052	100	10053	100
# attack up right
406	10060	150	10061	150	10062	150
# stand attack right
407	10062	100
# walk up right
408	10070	50	10071	50	10072	50	10073	50
# jump up right
409	10080	500	10081	500
# attack up left
410	10090	150	10091	150	10092	150
# stand attack right
411	10092	100
# jump up left
412	10100	500	10101	500
# walk up left
413	10110	50	10111	50	10112	50	10113	50
#walk after jump right 
414	10002	25	10003	25	10004	25	10005	25
#walk after jump left 
415	10012	25	10013	25	10014	25	10015	25
#untouchable right
416	10120	50	10121	50
#untouchable left
417	10130	50	10131	50
#die
499	10099	100

# ======== JASON ===============
#idle BIG right
500	11001	100
#idle BIG left
501	11011	100
#idle small right
502	11021	100
#idle small left
503	11031	100
#walk right big
504	11001	100	11002	100	11003	100	11004	100
#walk left big
505	11011	100	11012	100	11013	100	11014	100
#walk right small
506	11021	100	11022	100	11023	100
#walk left small
507	11031	100	11032	100	11033	100
#walk right small
508	11002	100
#walk left small
509	11012	100
#die
599	11099	100

#==== BULLET==== 
800	80000	100 
801	80002	50	80001	100
802	80004	100
803	80005	100
804	80006	100
805	80007	100
806	80008	100
807	80009	100

# ==== BRICK =========
601	20001	100

# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100

# === ITEMS =========
603	60001	100

# ==== WORMS =========
#walk right
900	90001	100	90002	100
#walk left
901	90003	100	90004	100
# ==== JUMPERS =========
# walking left
910	90021	100	90022	100	90023	100
# walking right
911	90024	100	90025	100	90026	100
# jump left
912	90022	100
# jump right
913	90025	100
# ==== INSECT =========
# walking left
914	90027	100	90028	100
# walking right
915	90029	100	90030	100
# ==== ORBS =========
# walking left
916	90031	100
# walking right
917	90035	100
# collision left
918	90033	80	90034	80	90035	80
# collision right
919	90033	80	90032	80	90031	80
# shake left to right
920	90031	30	90032	30	90033	30	90034	30	90035	30
# shake right to left
921	90035	30	90034	30	90033	30	90032	30	90031	30
# ==== SKULLS =========
# left
928	90040	100
# right
929	90041	100
# attack left
930	90042	100
# attack right
